Date,ARTIST,TITLE,Flare,,Bavo,Lennert,Vince,Mattis,Wennie,Jasper,Sander,Sienie,Femke,Kato,Daan,Sam H.,Marc,Joppe,Eef,Nancy,Benoit,Hasse,Azra,Leonie,Eliah,Tinne,Jordy,Sam V.H.,Sebastiaan,Natasha,Niels,Sara
15-1-2021,Benjamin Ingrosso,En gång i tiden,ZACHT,"5,5",,,,5,,,,,"5,5",6,,,,,,,,,,,,,,,,,,
15-1-2021,Blackout Problems,Dark,HARD,"7,1",,,,"6,5",,,,,"7,7",,,,,,,,,,,,,,,,,,,
15-1-2021,Buck Meek,Two Saviors,ZACHT,"7,0","7,5","7,8",,7,,8,,,6,"5,5",,,,,,,,,,,,,,,,,,
15-1-2021,Daniel Norgren,Live,,"7,6",8,,,,,,"8,3",,6,,,,,8,,,,,,,,,,,,,,
15-1-2021,Emma Ruth Rundle & Thou,The Helm of Sorrow (EP),HARD,"6,6",7,8,7,"4,5","7,5",,"7,5","7,5",3,5,"8,5",,,,,,,,,,,,,,,,,
15-1-2021,Frank Iero & The Future Violents,"Heaven is a Place, This is a Place ",HARD,"5,0",,,5,,,,,,,,,,,,,,,,,,,,,,,,,
15-1-2021,Lycopolis,The Procession,HARD,"1,0",,,,,,,,,1,,,,,,,,,,,,,,,,,,,
15-1-2021,Midnight Sister,Painting The Roses,ZACHT,"6,8",,,,7,,,,"7,5",6,"6,5",,,,,,,,,,,,,,,,,,
15-1-2021,Nyck Caution,Anywhere But Here,,"6,2",,"7,3",5,,,,,,,,,,,,,,,,,,,,,,,,,
15-1-2021,Pearl Charles,Magic Mirror,DANS,"7,5",,"7,1",,8,,,,"7,5",,,,,,,,,,,,,,,,,,,,
15-1-2021,Samia,The Baby Reimagined,,"6,5",,"6,5",,,,,,,,"6,5",,,,,,,,,,,,,,,,,,
15-1-2021,Shame,Drunk Tank Pink,HARD,"7,6","8,5","8,2",7,"8,5",,,8,8,"7,5",5,,,,,,,,,,,,,,,,,,
15-1-2021,Sleaford Mods,Spare Ribs,GEK,"7,8",7,,,9,,,,"7,5",,,,,,,,,,,,,,,,,,,,
15-1-2021,Stoop Kid,Camp Careful,,"6,8",,7,6,,7,"7,5","6,5","6,5",7,,,,,,,,,,,,,,,,,,,
15-1-2021,The Xcerts,So No One Told You Life Was Gonna Be This Way (EP),HARD,"4,6",,5,4,"3,5","7,5",,3,,,,,,,,,,,,,,,,,,,,,
15-1-2021,Vinci,De Basis (EP),,"4,5","4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1-2021,You Me At Six,Suckapunch,HARD,"6,0",,4,5,9,6,,,6,,,,6,,,,,,,,,,,,,,,,
15-1-2021,ZAYN,Nobody Is Listening,,"2,1",2,"1,5",,2,,,,,3,,,,,,,,,,,,,,,,,,,
15-1-2021,Yail,Elegies,HARD, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-1-2021,Cosmo Pyke,A Piper For Janet (EP),,"8,4",,"8,7",,,,,,8,,,,,,,,,,,,,,,,,,,,
18-1-2021,Single Mothers,Bubble (EP),GEK,"7,8",,,,,8,,8,,,,,"7,5",,,,,,,,,,,,,,,,
21-1-2021,Flux Pavilion,.wav,DANS,"7,0",,,,,6,,7,,,8,,,,,,,,,,,,,,,,,,
22-1-2021,Arca,Madre (EP),GEK,"7,8",8,,,,,,,,,,"7,5",,,,,,,,,,,,,,,,,
22-1-2021,Bicep,Isles,DANS,"8,0","8,5",,,,,,8,,,,,"7,5",,,,,,8,,,,,,,,,,
22-1-2021,Camp Trash,Downtiming (EP),HARD,"7,4",3,,,,9,,6,"8,5",9,"8,5","7,5",,,,,,,,,,,,,,,,,
22-1-2021,CARM,CARM,ZACHT,"7,9","7,8","7,3",,,,,"8,3",8,,,,8,,,,,,,,,,,,,,,,
22-1-2021,Caroline Shaw,Narrow Sea,GEK,"8,5",,,,,,,,,,,"8,5",,,,,,,,,,,,,,,,,
22-1-2021,DIKKE,130 Kilo,,"6,6","6,8",7,,,,7,6,,,6,,,,,,,,,,,,,,,,,,
22-1-2021,Doc D,Planetory Destruction,,"7,8","7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
22-1-2021,Lande Hekt,Going to Hell,ZACHT,"6,6",,,,,7,,"5,5",7,,,7,,,,,,,,,,,,,,,,,
22-1-2021,Rhye,Home,DANS,"7,3","5,5","7,7",,,9,,"6,5",9,,,,8,,4,"8,5",,,,,,,,,,,,,
22-1-2021,Teen Creeps,Forever,HARD,"7,3",,7,,,"6,5",,"7,5","7,5",8,"7,5",,"7,5","7,2",,,,,,,,,,,,,,,
22-1-2021,the dead daisies,holy ground,HARD,"6,8",,,,,"7,5",,5,"6,5",,8,,,,,,,,,,,,,,,,,,
22-1-2021,Yung ,Ongoing Dispute,HARD,"7,7",,,,,,,"7,7",,,,,,,,,,,,,,,,,,,,,
22-1-2021,Palberta,Palberta5000,HARD,"6,0",,,,,6,,,,,,,,,,,,,,,,,,,,,,,
27-1-2021,Mica Levi,Blue Alibi,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,Ani DiFranco,Revolutionary Love,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,Ariel Pink,"Odditties Sodomies, vol. 3",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,Arlo Parks,Collapsed in Sunbeams,ZACHT,"7,9","8,5",8,,,8,7,"8,5","6,5",,,,8,,,9,,,,,,,,,,,,,
29-1-2021,Celeste,Not Your Muse,,"7,3","7,5",,,,,"6,5",,8,,,,7,,,,,,,,,,,,,,,,
29-1-2021,Fredo,Money Can't Buy Happiness,,"6,5","6,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,Madlib (& Four Tet),Sound Ancestors,DANS,"9,1","9,3",,,,,,9,9,,,,,,,,,,,,,,,,,,,,
29-1-2021,michael schenker group,immortal,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,Sebastian Reynolds,Nihilism is Pointless,GEK,"6,0",,,,,6,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,The Notwist,Vertigo Days,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,The Sonder Bombs,Clothbound,HARD,"8,0",,,,,8,,,,,,,,,,,,,,,,,,,,,,,
29-1-2021,Weezer,OK Human,ZACHT,"7,0","7,8",8,,,,,6,"7,5",,6,,"6,5",,,,,,,,,,,,,,,,
4-2-2021,Joeboy,Somewhere Between Beauty & Magic,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Apollo LTD,"Nothing is Ordinary, Everything is Beautiful",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Black Coffee,Subconsciously,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,"Black Country, New Road",For the First Time,,"9,0",,,,,,9,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,CNCO,Déjà Vu,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Cult Of Luna,The Raging River,HARD,"8,5",,,,,9,,,8,,,,,,,,,,,,,,,,,,,,
5-2-2021,Foo Fighters,Medicine At Midnight,HARD,"6,0","4,5",,,,,"6,5",,,,,,,,,,7,,,,,,,,,,,,
5-2-2021,Hayley Williams,FLOWERS for VASES / descanos,ZACHT,"7,8",8,,,,,,,8,,,,"7,5",,,,,,,,,,,,,,,,
5-2-2021,Jane Birkin,Oh! Pardon tu dormai...,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Kate Ceberano,Sweet Inspiration,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Octo Octa,She's Calling,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Odette,Herald,DANS,"7,0",,,,,,,,7,,,,,,,,,,,,,,,,,,,,
5-2-2021,Psychedelic Porn Crumpets,SHYGA! The Sunlight Mound,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Puma Blue,In Praise Of Shadows,,"7,5","7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Sarah Mary Chadwick,"Me and Ennui Are Friends, Baby",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-2-2021,Sun June,Somewhere,ZACHT,"9,0",,,,,9,,,9,,,9,,,,,,,,,,,,,,,,,
5-2-2021,The Staves,Good Woman,ZACHT,"8,1",8,,,,,8,,8,,,,"8,5",,,,,,,,,,,,,,,,
5-2-2021,The Weather Station,Ignorance,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-2-2021,Loathe,The Things They Believe,ZACHT,"8,3",,,,,"8,5",,,8,,,,,,,,,,,,,,,,,,,,
8-2-2021,Kim Woo-seok,2nd Desire: Tasty,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Claud,Supermonster,,"6,0",,,,,,6,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Florida Georgia Line,Life Rolls On,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Gabriel Rios,Flore,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,God Is An Astronaut,Ghost Tapes #10,,"8,3","6,5",,,,9,,,"9,5",,,,,,,,,,,,,,,,,,,,
12-2-2021,Jakob Ahlbom,At the Break of Dawn,ZACHT,"9,5",,,,,,,,"9,5",,,,,,,,,,,,,,,,,,,,
12-2-2021,JPEGMAFIA,EP2!,,"8,0",8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Love and Death,Perfectly Preserved,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Luca Brasi,Everything Is Tenuous,,"7,5",,,,,"7,5",,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Pale Waves,Who Am I?,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Pentatonix,The Lucky Ones,ZACHT,"8,0",,,,,,,,,8,,,,,,,,,,,,,,,,,,,
12-2-2021,Sia,Music - Songs from and Inspired by the Motion Picture,DANS,"3,8",0,,,,,,,,"7,5",,,,,,,,,,,,,,,,,,,
12-2-2021,Sirenia,"Riddles, Ruins & Revelations",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Slowthai,Tyron,,"8,1","8,7","8,5",,,8,7,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Sports,Get A Good Look Pt. 1,,"7,8",,,,,8,,,"7,5",,,,,,,,,,,,,,,,,,,,
12-2-2021,Stan van Samang,feel the power,ZACHT,"6,6",haha,,,,,,5,,"7,5",7,,,,,,7,,,,,,,,,,,,
12-2-2021,Teenage Wrist,Earth is a Black Hole,,"8,0",,,,,"8,5",,,,"7,5",,,,,,,,,,,,,,,,,,,
12-2-2021,The pretty Reckless,Death by Rock and Roll,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,The Rubens,(0)202,,"6,0",,,,,,,,6,,,,,,,,,,,,,,,,,,,,
12-2-2021,VENTILATEUR,A Soundtrack For Happiness,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2-2021,Bob Vylan,We Live Here (Deluxe),HARD,"7,5",,,,,"7,5",,,,,,,,,,,,,,,,,,,,,,,
14-2-2021,Black Dresses,Forever In Your Heart ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-2-2021,Chungha,Querencia,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-2-2021,Super Junior,The Renaissance,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Adeline Hotel,Good Timing,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Edie Brickell & New Bohemians,Hunter and the Dog Star,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Hand Habits,Dirt (EP),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Indigo Sparke,Echo,ZACHT,"8,5",9,,,,"7,5",,,9,,,,,,,,,,,,,,,,,,,,
19-2-2021,Isaac Dunbar,Evil Twin,,"8,5",,,,,,,,,,,,,,,,,,,"8,5",,,,,,,,,
19-2-2021,Julia Stone,Sixty Summers,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Mogwai,As The Love Continues,HARD,"8,3","8,5",,,,8,,"8,5",8,,,,,,,,,,,,,,,,,,,,
19-2-2021,Normandie,Dark & Beautiful Secrets,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,"Nothing, Nowhere",Trauma Factory,DANS,"6,5",,,,,6,,7,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Ryan Van Haesendonck,Vauville,ZACHT,"9,1",10,10,,,9,,10,"9,5",6,,,,,,,,,,,,,,,,,,,
19-2-2021,SG Lewis,Times,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Tash Sultana,Terra Firma,,"8,5",,,,,"8,5",,,,,,,,,,,,,8,9,,,,,,,,,
19-2-2021,The Hold Steady,Open Door Policy,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,Valley Maker,When the Day Leaves,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,"Conway the Machine, Big Ghost Ltd",If It Bleeds It Can Be Killed ,,"7,8","7,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2-2021,"Your Old Droog, Tha God Fahim",Tha YOD Fahim,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-2-2021,Lefwerk,Blijf Klein,,"8,0",,,,,8,,,,,,,,,,,,,,,,,,,,,,,
25-2-2021,King Gizzard & the Lizard Wizard,L.W.,HARD,"7,3",,,,,6,,,"8,5",,,,,,,,,,,,,,,,,,,,
25-2-2021,Nick Cave & Warren Ellis ,CARNAGE,ZACHT,"8,9","9,5",,,,,,9,"8,5",,,,"8,5",,,,,,,,,,,,,,,,
26-2-2021,Alice Cooper,Detroit Stories,,"6,0",,,,,,,,,,,,,,,,6,,,,,,,,,,,,
26-2-2021,Altın Gün,Yol,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Architects,For Those That Wish To Exist,HARD,"7,5",,,,,8,,,,,,,7,,,,,,,,,,,,,,,,
26-2-2021,Balthazar,Sand,,"6,8",6,,,,,,"6,5","7,5",,,,7,,,,,,,,,,,,,,,,
26-2-2021,Blanck Mass,In Ferneaux,GEK,"5,0",,,,,5,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Bonnie Tyler,The Best Is Yet to Come,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Celeste,Not Your Muse,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Cloud Nothings ,The Shadow I Remember,HARD,"5,5",,,,,"5,5",,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Deap vally,Digital Dream,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Dreamwell,Modern Grotesque,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Epica,Omega,HARD,"7,5",,,,,,,,,,,,,,,,"7,5",,,,,,,,,,,,
26-2-2021,Goody Grace,Don't Forget Where You Came From,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Goose,Something New,DANS, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Jetty Bones,Push Back,DANS,"8,5",,,,,"8,5",,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,JIMMY EDGAR,CHEETAH BEND,,"8,0",8,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Julien Baker,Little Oblivions,ZACHT,"8,5",9,,,,"8,5",,"8,5","8,5",,"8,5",,8,,,,,,,,,,,,,,,,
26-2-2021,Lastelle,Delicate (EP),HARD,"7,0",,,,,7,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Madison Beer,Life Support,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Maxïmo Park,Nature Always Wins,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Mikey Erg,Mikey Erg,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Mira,heilig hart,ZACHT, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Moonspell,Hermitage,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Nervous Dater,Call in the Mess,HARD,"6,0",,,,,6,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,NOFX,Single Album,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Roosevelt,Polydans,DANS,"7,5","7,5",,,,,,,"7,5",,,,,,,,,,,,,,,,,,,,
26-2-2021,Sheppard,Kaleidoscope Eyes,DANS,"6,5",,,,,"6,5",,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Willie Nelson,That's Life,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Danny L Harle,Harlecore,GEK, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-2-2021,Bonfire,Roots,,"7,0",,,,,,,,,,,,,,,,7,,,,,,,,,,,,
26-2-2021,A Winged Victory for the Sullen,Invisible Cities,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,A Day to Remember,You're Welcome,HARD,"6,3",,,,,"6,5",,,6,,,,"6,5",,,,,,,,,,,,,,,,
5-3-2021,Arab Strap ,As Days Get Dark,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Chevelle,Niratias,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Genesis Owusu,Smiling with No Teeth,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Jane Weaver,Flock,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Kings of Leon,When You See Yourself,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Sam De Nef,"Lonely Day, Crowded Year",ZACHT,"8,3","7,5",,,,9,,,"8,5",,,,,,,,,,,,,,,,,,,,
5-3-2021,Teenage Fanclub,Endless Arcade,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Tigers Jaw,I Won't Care How You Remember Me,HARD,"7,3",,,,,"7,5",,,,,,,7,,,,,,,,,,,,,,,,
5-3-2021,Worriers,The Old Friends EP,HARD,"5,0",,,,,5,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Yung Mavu,Luxury Denim (EP),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2021,Zara Larsson,Poster Girl,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-3-2021,Harmony Woods,GRACEFUL RAGE,ZACHT,"8,8",,,,,"9,5",,,8,,,,,,,,,,,,,,,,,,,,
12-3-2021,Rob Zombie,The Lunar Injection Kool Aid Eclipse Conspiracy,,"6,5",,,,,,,,,,,,,,,,"6,5",,,,,,,,,,,,
